2021-10-18 16:13:23 INFO  AllTests:55 - Starting AllTests using Java 15 on DESKTOP-Patrick with PID 23264 (started by pacht in C:\Users\pacht\Documents\Revature\Projects\Project2\mental-health-app\MentalHealthApp)
2021-10-18 16:13:24 DEBUG AllTests:56 - Running with Spring Boot v2.5.5, Spring v5.3.10
2021-10-18 16:13:24 INFO  AllTests:659 - No active profile set, falling back to default profiles: default
2021-10-18 16:13:34 INFO  AllTests:61 - Started AllTests in 11.026 seconds (JVM running for 11.981)
2021-10-18 16:13:35 INFO  LoggingAspect:328 - Patient com.revature.services.PatientService.registerPatient(Patient) ----- SUCCESSFUL
2021-10-18 16:13:35 INFO  LoggingAspect:328 - Patient com.revature.services.PatientService.registerPatient(Patient) ----- SUCCESSFUL
2021-10-18 16:13:35 INFO  LoggingAspect:290 - Patient com.revature.services.LoginService.loginPatient(LoginDTO) ----- FAILED
2021-10-18 16:13:35 INFO  LoggingAspect:387 - Professional com.revature.services.ProfessionalService.registerProfessional(Professional) ----- SUCCESSFUL
2021-10-18 16:13:35 INFO  LoggingAspect:301 - Professional com.revature.services.LoginService.loginProfessional(LoginDTO) ----- FAILED
2021-10-18 16:13:35 INFO  LoggingAspect:339 - Entry com.revature.services.PatientService.addEntry(Entry,int) ----- SUCCESSFUL
2021-10-18 16:13:35 INFO  LoggingAspect:339 - Entry com.revature.services.PatientService.addEntry(Entry,int) ----- SUCCESSFUL
2021-10-18 16:13:36 INFO  LoggingAspect:339 - Entry com.revature.services.PatientService.addEntry(Entry,int) ----- SUCCESSFUL
2021-10-18 16:13:36 INFO  LoggingAspect:339 - Entry com.revature.services.PatientService.addEntry(Entry,int) ----- SUCCESSFUL
2021-10-18 16:13:37 INFO  LoggingAspect:350 - List com.revature.services.PatientService.getMyEntries(int) ----- SUCCESSFUL
2021-10-18 16:13:37 INFO  LoggingAspect:336 - Entry com.revature.services.PatientService.getEntry(int,int) ----- FAILED
2021-10-18 16:13:37 INFO  LoggingAspect:350 - List com.revature.services.PatientService.getAllPublicEntries(int) ----- SUCCESSFUL
2021-10-18 16:13:37 INFO  LoggingAspect:524 - boolean com.revature.services.ServiceLibrary.doesPatientHaveProfessional(Professional,int) ----- PATIENT WITH ID: 1 HAS AN ASSIGNED PROFESSIONAL
2021-10-18 16:13:38 INFO  LoggingAspect:438 - Reply com.revature.services.ProfessionalService.addReply(Reply,int,int) ----- FAILED
2021-10-18 16:13:38 INFO  LoggingAspect:398 - List com.revature.services.ProfessionalService.getUnassignedPatients(int) ----- SUCCESSFUL
2021-10-18 16:13:38 INFO  LoggingAspect:409 - List com.revature.services.ProfessionalService.getAllThisPatientsEntries(int,int) ----- SUCCESSFUL
